Table 1
Task List							
Task Name	Foreman	Assigned	Meeting	Task	Duration	Status	Dependencies
Complete Sprinkler Rough In						Planned	
Schedule Sprinkler Completion Work					0.5	Planned	
Complete Sprinkler Final						Planned	
Schedule Sprinkler Inspection					6	Planned	
							
Schedule Initial Electrical Pre-Start Site Visit & Inspection						Planned	None
Schedule Review of Electrical Rough-Ins						Planned	
Schedule Electrical Rough-Ins						Planned	
Electrical Rough-In’s						Planned	
Schedule Electrical Finish Post Drywall						Planned	
Electrical Finish Post Drywall						Planned	
Schedule Electrical Finish Post Cabinets						Planned	
Electrical Finish Post Cabinets						Planned	
Schedule Electrical Finish						Planned	
Full Electrical Finish						Planned	
Attain Electoral ESA Permit Final							
							
Schedule Framing Initial Site Visit						Planned	None
Schedule Framing 						Planned	
Framing						Planned	
Install Framing Strengthening						Planned	
Install Insulation						Planned	
Schedule Rough In Door Operators					4	Planned	
Door Operator Rough In						Planned	
							
Schedule Drywall						Planned	
Drywall Install						Planned	
Schedule Taping						Planned	
Taping 						Planned	
							
Schedule Paint Scope of Work					2	Planned	None
Paint Scope of Work Meeting					4	Planned	None
Schedule Paint Priming					0.5	Planned	
Schedule Paint Coat 1					0.5	Planned	
Schedule Paint Coat 2					0.5	Planned	
Schedule Paint Coat 3					0.5	Planned	
Schedule Paint Final					0.5	Planned	
Schedule Epoxy Paint Work					0.5	Planned	
							
Paint Coat 1						Planned	
Paint Coat 2						Planned	
Paint Coat 3						Planned	
Paint Final						Planned	
Epoxy Painting						Planned	
							
Create Preliminary Millwork Drawings						Planned	None
Schedule Meeting with Clients To Review Millwork Drawings						Planned	
Clients Must Sign Off On Millwork Drawings 						Planned	
Put Millwork into Production						Planned	
Schedule Millwork Install						Planned	
Installation of Millwork						Planned	
							
Order All Doors & Hardware					8	Planned	None
Materials Site Visit Check					4	Planned	
Schedule Door Frame Installation					2	Planned	
Door Frame Installation							
Schedule Door Installation					0.5	Planned	
Door Installation							
Schedule Door Hardware Installation					0.5	Planned	
Door Hardware Installation (including Nubs)							
							
Get Quote For Security Gate					1	Planned	
Approve Security Gate Drawing					4	Planned	
Schedule Security Gate On-Site Measurements					0.5	Planned	
Schedule Security Gate Install					0.5	Planned	
							
Order Ceiling Grid Materials 					4	Planned	
Order Ceiling Tiles					4	Planned	
Schedule Ceiling Grid Work					0.5	Planned	
Schedule Ceiling Tile Work					0.5	Planned	
Ceiling Grid Install						Planned	
Ceiling Tile Install						Planned	
							
Order All Vinyl  Flooring					8	Planned	None
Order All Tile Flooring & Wall Applications					8	Planned	None
Order All Wood or Other Flooring					8	Planned	None
Order All Vinyl Glue					4	Planned	None
Order All Mortar & Trim					4	Planned	None
Order All Sub Materials & Glue					4	Planned	None
Order All Transition Pieces					2	Planned	None
Order Any Epoxy Materials 					2	Planned	None
							
Flooring On Site Visit Tile					4	Planned	
Flooring On Site Visit Vinyl					4	Planned	
Schedule All Vinyl Flooring					4	Planned	
Schedule All Tile Flooring					4	Planned	
Schedule All Wood or Other Flooring					2	Planned	
Schedule All Vinyl Glue					2	Planned	
Schedule All Mortar & Trim					2	Planned	
Schedule All Sub Materials & Glue					2	Planned	
Schedule All Transition Piece Work					2	Planned	
Schedule Floor Prep Work					2	Planned	
Schedule Epoxy Floor Work					2	Planned	
							
Floor & Wall Tiling Install						Planned	
Vinyl Flooring Install						Planned	
Wood or Other Flooring Install						Planned	
Epoxy Floor Install						Planned	
Floor Prep Work						Planned	
							
							
Order Barrier Free Equipment					1	Planned	
Order Bathroom Fixtures					2	Planned	
Order Plumbing Fixtures					2	Planned	
Schedule Barrier Free Equipment Install					0.5	Planned	
Barrie Free Equipment Install						Planned	
Schedule Bathroom (non-plumbing) Fixtures Install					0.5	Planned	
Bathroom (non-plumbing) Fixtures Install							
							
Schedule Trim Work						Planned	
Trim Work Install						Planned	
							
Order Door Numbers						Planned	
Schedule Install of Door Numbers						Planned	
Installation of Door Numbers						Planned	
							
Order Wallpaper						Planned	
Schedule Install of Wallpaper						Planned	
Installation of Wallpaper						Planned	
							
Schedule Site Visit For Stone Work						Planned	
Installation of Stonework						Planned	
							
Order Blinds						Planned	
Schedule Installation of Blinds						Planned	
Installation of Blinds						Planned	
							
Order Baseboard Materials 					4	Planned	
Schedule Baseboard Installation					0.5	Planned	
Install Baseboard(s)						Planned	
Order Trim Material					4	Planned	
Schedule Trim Work					0.5	Planned	
Install Trim						Planned	
							
Schedule Finish Door Operators					0.5	Planned	
Door Operator Finish Completion							
							
Install Door Closer(s)						Planned	
							
Commercial Clean Full Space One					4	Planned	
Commercial Clean Full Space Final					4	Planned	
